iter	R2	RMSE
802	0.9052509787	28428.75053
803	0.9053471638	28414.31705
804	0.9054596257	28397.43178
805	0.9055459979	28384.45685
806	0.9056065761	28375.35319
807	0.9056448652	28369.5976
808	0.9057476796	28354.13688
809	0.9058324523	28341.38283
810	0.9059243942	28327.54368
811	0.9060655157	28306.28883
812	0.9061316008	28296.33002
813	0.9062251155	28282.23165
814	0.9062806211	28273.86024
815	0.9063074225	28269.81715
816	0.9064308729	28251.1867
817	0.9064963846	28241.29503
818	0.9065228909	28237.29184
819	0.9066408941	28219.46318
820	0.9067581048	28201.74311
821	0.9068610678	28186.16783
822	0.9069373	28174.63058
823	0.9070476575	28157.92032
824	0.9070685516	28154.75543
825	0.9071124926	28148.0984
826	0.9071986882	28135.03525
827	0.9072284439	28130.5243
828	0.9072970554	28120.12007
829	0.907327991	28115.42775
830	0.9074147905	28102.25777
831	0.9075030538	28088.85935
832	0.907577471	28077.55782
833	0.9077191089	28056.03508
834	0.9078537524	28035.55986
835	0.9079104033	28026.94051
836	0.9079765675	28016.87035
837	0.9080553548	28004.87425
838	0.9081045213	27997.38557
839	0.9082334887	27977.73272
840	0.9083001503	27967.56898
841	0.9083757714	27956.03476
842	0.908482023	27939.82052
843	0.9086149497	27919.52233
844	0.908771007	27895.6732
845	0.9089141142	27873.78522
846	0.9089919856	27861.8677
847	0.9090583892	27851.7012
848	0.9091248205	27841.52674
849	0.9091647362	27835.41156
850	0.9091733824	27834.08678
851	0.9093050273	27813.90797
852	0.9093868994	27801.35106
853	0.9094468666	27792.15015
854	0.9095109371	27782.3163
855	0.9096277444	27764.37919
856	0.9097296151	27748.7263
857	0.9097917597	27739.17316
858	0.9098689936	27727.29585
859	0.9099416058	27716.12464
860	0.9100674233	27696.75724
861	0.9100721722	27696.02596
862	0.9100841059	27694.18823
863	0.9101615301	27682.2623
864	0.9102436176	27669.61245
865	0.9102458768	27669.26421
866	0.9102867761	27662.9593
867	0.9103491898	27653.33505
868	0.910434762	27640.13425
869	0.910533388	27624.91191
870	0.9105826733	27617.30187
871	0.9106419855	27608.14082
872	0.9106781392	27602.5552
873	0.910753654	27590.88481
874	0.9107787701	27587.00217
875	0.9108329797	27578.62014
876	0.9108964906	27568.7967
877	0.9109748101	27556.67793
878	0.9110395853	27546.65092
879	0.9110701723	27541.91487
880	0.9111081471	27536.03377
881	0.9112232605	27518.19865
882	0.9113047499	27505.56608
883	0.9114331812	27485.64475
884	0.9115778407	27463.18892
885	0.9116107223	27458.08206
886	0.9117290943	27439.68981
887	0.9117904839	27430.14642
888	0.9118547384	27420.15413
889	0.9119721779	27401.88154
890	0.9119731404	27401.73174
891	0.9120091465	27396.12703
892	0.9121512895	27373.98984
893	0.9122911245	27352.1946
894	0.91242089	27331.95329
895	0.9124950093	27320.38516
896	0.9125719766	27308.36734
897	0.9126213384	27300.6571
898	0.9126963536	27288.93568
899	0.9127556093	27279.67318
900	0.9128416177	27266.22326
901	0.9128846478	27259.49176
902	0.9129283561	27252.65247
903	0.9130013775	27241.22254
904	0.9130025186	27241.04389
905	0.9131258756	27221.724
906	0.9131267497	27221.58705
907	0.9131711866	27214.62404
908	0.913213193	27208.04025
909	0.9132746735	27198.40134
910	0.9133349544	27188.94718
911	0.913335823	27188.81093
912	0.9133832891	27181.36423
913	0.9134542721	27170.2243
914	0.9134553949	27170.04805
915	0.9135361045	27157.376
916	0.9135721861	27151.70899
917	0.9136284074	27142.87645
918	0.9136599311	27137.92273
919	0.9137228223	27128.03713
920	0.9137910531	27117.30814
921	0.9138791992	27103.44127
922	0.9139942573	27085.33
923	0.9140429428	27077.66278
924	0.914098237	27068.95217
925	0.9141884654	27054.73227
926	0.9142636405	27042.87903
927	0.9143402095	27030.80067
928	0.9143913548	27022.72976
929	0.9143920534	27022.61951
930	0.9144994829	27005.65883
931	0.9145022362	27005.224
932	0.9145737953	26993.92035
933	0.9146122888	26987.83787
934	0.9146979867	26974.29153
935	0.9147327708	26968.79123
936	0.9147824915	26960.92713
